morani,p,year
0.28563397264891416,1.0497035248172165e-19,2012
0.270261513379025,7.075592359718325e-18,2011
0.25562503067177056,2.781327624490805e-16,2010
0.2548931152060956,2.084308045325172e-16,2009
0.24827884799119737,1.0782580669845926e-15,2008
0.2685283739806651,4.792079445987773e-18,2007
0.2678040934441159,1.5456636829944933e-18,2006
0.2780108626907949,2.641580406119862e-19,2005
0.2861702550874638,1.5527683711156735e-20,2004
0.280907990806669,6.82677322537864e-20,2003
0.2854901871265257,9.094795156559e-21,2002
0.2873076253549205,4.698792762857088e-21,2001
0.3003415345567143,1.3245306315788306e-24,2000
0.31723940598015754,5.406977665405528e-26,1999
0.32449911124038855,3.477356741777931e-28,1998
0.3335095310014689,3.6002779144490826e-29,1997
0.32381630322672666,1.2298591554120295e-25,1996
