morani,p,year
0.21126186346208772,8.83232175863473e-11,2012
0.2129153172442818,6.638860678936544e-11,2011
0.20936742167112607,1.3771131478101802e-10,2010
0.2142934661913465,4.345927421643823e-11,2009
0.19970177035858616,7.133711614279271e-10,2008
0.20903513427753379,1.1422343142438283e-10,2007
0.1745398881876738,2.2991733887449544e-8,2006
0.20604639262302007,2.443851492926207e-10,2005
0.21457496753192642,4.645482673812335e-11,2004
0.23383396671298196,7.63868308061868e-13,2003
0.23861640404769158,2.467894106432349e-13,2002
0.26237528548547884,8.091104003254898e-16,2001
0.3184478246627699,6.786809029649253e-24,2000
0.3592964045735987,1.1237140512431764e-30,1999
0.39312659378248227,5.0285154835919245e-37,1998
0.3737691907468044,1.7690158221742108e-35,1997
0.3189346435387636,1.3878588950868876e-26,1996
