morani,p,year
0.33929901011433883,5.374093844786987e-24,2012
0.3860963536371373,2.6729306799658806e-30,2011
0.42689120781813755,1.4978713509701507e-36,2010
0.41976796141796585,1.7316483102841395e-35,2009
0.4482174297405741,4.048588232097228e-40,2008
0.44196999767091155,4.3371864891026075e-39,2007
0.10384177253359121,9.501751833333336e-7,2006
0.19493469435573,2.6359518650570705e-10,2005
0.2098905751654047,1.2711443244634696e-10,2004
0.31637915314505255,1.854391907709168e-21,2003
0.2849258340168248,1.2307067744583635e-17,2002
0.3386757615429923,9.939582925796555e-24,2001
0.36141878218718554,7.21412764790863e-27,2000
0.41316436086411856,2.1474035265581444e-34,1999
0.41882659345223555,2.798326017824685e-35,1998
0.3863354765111502,1.547036070196523e-30,1997
0.1095012775730262,1.726411127472938e-5,1996
