LAD21CD,LAD21NM,estimate,r2,std.error,fast
E06000001,Hartlepool,2001.642826061675,0.9168990505281716,0.32098213687404104,fast
E06000002,Middlesbrough,2002.5917244741147,0.9444549567505598,0.4535202438798885,slow
E06000003,Redcar and Cleveland,2003.574657951407,0.9470662639859506,0.5762227360495933,slow
E06000004,Stockton-on-Tees,2003.3234239884407,0.9610735862241182,0.44041492368876073,slow
E06000005,Darlington,2001.4082099199093,0.9684710172221243,0.1968651983050154,fast
E06000006,Halton,2004.0036567568498,0.9617930186573503,0.5352214452571934,slow
E06000007,Warrington,2002.8011314155258,0.9438555366219902,0.47289992898313743,slow
E06000008,Blackburn with Darwen,2002.7264742008767,0.9631694807357336,0.34873719658837177,slow
E06000009,Blackpool,2002.8981647499281,0.9573906662135709,0.365954457536096,slow
E06000010,"Kingston upon Hull, City of",2002.6939800549944,0.9448622622045305,0.47692412512908805,slow
E06000011,East Riding of Yorkshire,2003.7269818650354,0.9540177379907886,0.5355924518125521,slow
E06000012,North East Lincolnshire,2002.642477326475,0.924424676682408,0.5515907121592062,slow
E06000013,North Lincolnshire,2002.5771581226916,0.9601584881933191,0.34070761703320623,slow
E06000014,York,2002.6034672687438,0.9382337293409665,0.4828435096628037,slow
E06000015,Derby,2003.209267755244,0.9534052457880035,0.47456946293912927,slow
E06000016,Leicester,2002.56083661751,0.9414178031934882,0.45199163319020835,slow
E06000017,Rutland,2003.3209769803364,0.9293730167908438,0.6150794383803123,slow
E06000018,Nottingham,2002.04744601292,0.9656703455284947,0.26233663764244286,fast
E06000019,"Herefordshire, County of",2002.1006399035018,0.9380249263312793,0.38300374792169234,fast
E06000020,Telford and Wrekin,2002.9346239338383,0.9509647439987415,0.45184282418599103,slow
E06000021,Stoke-on-Trent,2002.8391431384466,0.9347174925368983,0.5320464993377192,slow
E06000022,Bath and North East Somerset,2001.8464108420867,0.9446053148644461,0.34122291069271937,fast
E06000023,"Bristol, City of",2002.6142459973983,0.9537423938616372,0.3970443043683894,slow
E06000024,North Somerset,2002.2759136804207,0.9392598992050156,0.38487762584435076,fast
E06000025,South Gloucestershire,2001.9632660533207,0.9204077625841455,0.40383297282086206,fast
